Index,STRUCTURE_NUMBER_008,STRUCTURE_LEN_MT_049,DECK_WIDTH_MT_052,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,Road_class,FUTURE_ADT_114,PERCENT_ADT_TRUCK_109,DETOUR_KILOS_019,HAZUS_classficiation,site_class,DEGREES_SKEW_034,MAIN_UNIT_SPANS_045,maint_duration,rehab_duration,recon_duration,Age,DECK_STRUCTURE_TYPE_107,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,Vertical_clearance
1241,12690,21.9,12.8,2,1,Minor,333,0.19,6,HWB10,B,0,3,30,180,360,28,1,6,6,7,99.99
1244,12720,20.4,14.7,5,2,Minor,10873,0.1,6,HWB3,B,15,1,30,180,360,25,1,7,8,8,99.99
1245,12740,24,14.5,2,1,Minor,17746,0.08,8,HWB10,B,0,3,30,180,360,20,1,7,7,7,99.99
1246,12750,56.5,11.9,6,5,Minor,34829,0.1,10,HWB22,B,10,3,30,180,360,23,1,6,6,7,99.99
1248,12760,49.8,13.5,4,2,Minor,11160,0.11,6,HWB15,B,35,3,30,180,360,9,1,8,7,7,99.99
1249,12770,22.3,14.7,5,2,Minor,6936,0.1,6,HWB3,B,25,1,30,180,360,26,1,7,8,8,99.99
1251,12791,26.1,10.5,5,2,Minor,6750,0.06,11,HWB3,B,0,1,30,180,360,4,1,8,8,8,99.99
1252,12800,68,12.9,4,2,Minor,12537,0.1,5,HWB15,B,20,4,30,180,360,19,1,7,8,7,99.99
1253,12830,26.1,12.3,2,1,Minor,10299,0.1,2,HWB10,B,12,3,30,180,360,23,1,7,7,8,99.99
1254,12840,22.9,12.3,2,1,Minor,10299,0.1,2,HWB10,B,0,3,30,180,360,23,1,7,7,7,99.99
1255,12850,22.6,10.2,5,5,Minor,7619,0.1,5,HWB3,B,0,1,30,180,360,40,1,6,4,4,99.99
1256,12860,21.5,9.8,2,1,Minor,7102,0.1,5,HWB10,B,0,3,30,180,360,23,1,6,6,7,99.99
1257,12870,13.3,14.2,5,2,Minor,10496,0.1,5,HWB3,B,0,1,30,180,360,36,1,7,8,7,99.99
1259,12880,15.7,14.3,5,6,Minor,5000,0.1,5,HWB3,B,10,1,30,180,360,29,1,7,8,8,99.99
1260,12890,15.3,14.3,5,6,Minor,4352,0.1,6,HWB3,B,35,1,30,180,360,29,1,7,8,7,99.99
1261,12900,31.5,11.1,2,1,Minor,9293,0.1,6,HWB10,B,0,3,30,180,360,23,1,6,6,6,99.99
1262,12910,39.3,11.5,1,2,Minor,12000,0.05,3,HWB5,B,0,3,30,180,360,33,1,5,6,5,99.99
1263,12920,32.2,13.6,2,1,Minor,6170,0.1,6,HWB10,B,20,3,30,180,360,17,1,7,7,7,99.99
